Month,monthlyBulk,NonRes,Res,rainfallData,tempData,Connections
Jul 2016,11460,2071,8035,69.09,13.215,598830
Aug 2016,11202,2072,8014,61.68,14.630322580645162,599820
Sep 2016,10732,2044,7784,102.45,15.738333333333333,600756
Oct 2016,11474,2180,8402,92.83,18.416774193548388,601612
Nov 2016,12006,2266,8885,53.6,20.609,602550
Dec 2016,14165,2643,10331,75.52,26.236129032258063,603212
Jan 2017,14503,2668,10608,34.15,27.81016129032258,603924
Feb 2017,13073,2467,9478,49.58,26.33142857142857,604629
Mar 2017,15343,2794,10749,28.95,27.84241935483871,605762
Apr 2017,12109,2231,8485,101.1,20.275166666666667,606431
May 2017,12481,2257,8623,33.45,16.27258064516129,607418
Jun 2017,11356,2042,8002,21.86,13.642333333333333,608426
Jul 2017,11800,2126,8429,35.64,13.463387096774193,609449
Aug 2017,11672,2146,8307,66.32,13.671290322580646,610551
Sep 2017,11474,2079,8098,50.51,16.769666666666666,611571
Oct 2017,12828,2367,9124,41.43,21.255967741935486,612548
Nov 2017,13993,2549,9968,41.03,26.263666666666666,613594
Dec 2017,14191,2569,9880,145.62,25.488387096774193,614319
Jan 2018,15805,2892,11054,69.94,28.889032258064518,615021
Feb 2018,14535,2736,10187,2.15,27.95767857142857,615960
Mar 2018,16167,2957,11061,34.49,25.596774193548388,617089
Apr 2018,13800,2512,9422,11.4,22.6545,618209
May 2018,12930,2306,8830,66.52,16.80258064516129,618277
Jun 2018,11588,2086,8118,68.89,13.466166666666666,619153
Jul 2018,11991,2138,8568,26.85,13.564516129032258,620071
Aug 2018,11990,2205,8562,48.94,14.156935483870967,619183
Sep 2018,11832,2200,8514,21.16,16.9695,620037
Oct 2018,13662,2541,9845,31.46,21.133225806451613,621090
Nov 2018,12753,2360,9152,104.8,21.877666666666666,621807
Dec 2018,13930,2578,10018,95.26,26.014193548387098,619205
Jan 2019,17535,3239,12550,16.3,31.02193548387097,619573
Feb 2019,14983,2868,10740,18.16,27.720357142857143,620356
Mar 2019,16917,3109,11630,23.85,26.18064516129032,620567
Apr 2019,13971,2592,9624,14.110000000000001,22.077666666666666,620954
May 2019,13026,2390,8949,78.53,16.821774193548386,620286
Jun 2019,12154,2234,8597,68.29,14.1465,620806
Jul 2019,11871,2153,8420,51.56,13.638548387096774,621580
Aug 2019,12059,2245,8631,72.91,13.379032258064516,622556
Sep 2019,11653,2147,8355,62.13,16.872,623494
Oct 2019,12997,2443,9498,44.84,20.77225806451613,624492
Nov 2019,13406,2487,9634,71.86,21.853166666666667,626146
Dec 2019,16365,2910,11872,9.27,26.171935483870968,626525
Jan 2020,15089,2754,11007,111.4,27.621290322580645,626691
Feb 2020,13158,2337,9540,82.55,25.012931034482758,627441
Mar 2020,13585,2312,10202,84.05,22.58258064516129,628297
Apr 2020,11923,1855,9045,167.35999999999999,18.411166666666666,629075
May 2020,12284,1839,9391,72.97,15.172258064516129,629817
Jun 2020,11896,1752,9106,44.69,13.8485,630651
Jul 2020,12120,1727,9340,37.44,12.848709677419354,631477
Aug 2020,11970,1695,9304,79.96,14.000967741935483,632358
Sep 2020,11684,1661,9053,45.76,17.328833333333332,633192
Oct 2020,12407,1843,9498,86.1,18.83516129032258,634116
Nov 2020,14329,2197,10650,55,24.321166666666667,634877
Dec 2020,15582,2421,11030,40.13,23.677258064516128,635558
Jan 2021,15629,2520,11083,105.9,26.156451612903226,636147
Feb 2021,14018,2342,10029,11.3,25.300892857142856,637065
Mar 2021,14016,2342,9974,51.5,22.366935483870968,637591
Apr 2021,12543,2098,9015,22.78,19.977666666666668,638745
May 2021,12498,2054,9037,76.38,16.83225806451613,639529
Jun 2021,11859,1873,8698,84.65,14.027833333333334,640553
Jul 2021,11899,1844,8814,46.63,12.898709677419355,641197
Aug 2021,12427,1897,9363,47.02,15.265161290322581,642174
Sep 2021,11614,1808,8812,79.89,17.483333333333334,643037
Oct 2021,11736,1910,9039,130.58,18.763166666666667,643662
Nov 2021,12513,2120,9680,86.85,20.216333333333335,644279
Dec 2021,14141,2474,10628,16.69,25.071896551724137,644881
Jan 2022,17364,2939,12562,61.4,30.148064516129033,645209
